id,year,origin,automatic-transmission,cylinders,displacement,drive,cityMPG,highwayMPG,class-size,guzzler,smog-score
19528,2004,3,1,4,2.4,1,25.3,40.5,0,0,5
19532,2004,2,0,4,1.8,4,23.4,38.2,0,0,2
19533,2004,2,1,4,1.8,4,22.4603,36.4194,0,0,2
19534,2004,2,0,6,3.0,4,19.4,33.851,0,0,1
19534,2004,2,0,6,3.0,4,19.4,33.851,0,0,2
19535,2004,2,1,6,3.0,4,20.3534,32.5077,0,0,1
19535,2004,2,1,6,3.0,4,20.3534,32.5077,0,0,2
19536,2004,2,0,8,4.2,4,16.5324,27.1131,0,1,1
19537,2004,2,1,8,4.2,4,19.5,30.3,0,0,1
19540,2004,2,1,6,2.5,2,21.5624,34.9976,0,0,5
19540,2004,2,1,6,2.5,2,21.5624,34.9976,0,0,6
19540,2004,2,1,6,2.5,2,21.5624,34.9976,0,0,9
19543,2004,2,1,6,2.5,4,21.4,33.4,0,0,1
19544,2004,2,0,6,3.0,2,22.15,37.934,0,0,5
19544,2004,2,0,6,3.0,2,22.15,37.934,0,0,6
19545,2004,2,1,6,3.0,2,21.4578,34.858,0,0,5
19545,2004,2,1,6,3.0,2,21.4578,34.858,0,0,6
19547,2004,2,0,6,3.0,4,22.1,37.4,0,0,1
19548,2004,2,1,6,3.0,4,20.1,32.2,0,0,1
19549,2004,1,1,4,1.6,1,28.9986,43.3,0,0,2
19550,2004,1,0,4,1.6,1,29.6,45.5,0,0,2
19551,2004,1,1,4,2.2,1,26.6,43.5,0,0,2
19552,2004,1,0,4,2.2,1,29.1,47.0,0,0,2
19557,2004,1,1,6,3.0,1,22.3,35.5,0,0,1
19559,2004,1,1,6,3.0,1,22.3,35.5,0,0,1
19560,2004,1,1,4,2.4,1,24.6,37.9,0,0,1
19566,2004,1,1,4,2.0,1,28.1,41.3,0,0,2
19567,2004,1,0,4,2.0,1,32.2,45.7,0,0,2
19568,2004,1,0,4,2.4,1,24.2,38.5,0,0,2
19569,2004,1,1,4,2.4,1,23.5,36.3,0,0,1
19571,2004,1,1,6,3.0,1,22.3,35.5,0,0,1
19572,2004,1,0,6,3.0,1,22.6041,36.8086,0,0,1
19576,2004,1,0,4,2.0,1,30.5499,45.5991,0,0,1
19576,2004,1,0,4,2.0,1,30.5499,45.5991,0,0,2
19577,2004,1,0,4,2.0,1,28.6,42.1,0,0,1
19577,2004,1,0,4,2.0,1,28.6,42.1,0,0,2
19578,2004,1,0,4,2.0,1,23.1,35.7,0,0,2
19579,2004,1,1,4,2.3,1,26.6524,38.5002,0,0,7
19579,2004,1,1,4,2.3,1,26.6524,38.5002,0,0,9
19580,2004,1,0,4,2.3,1,27.8,41.8,0,0,7
19580,2004,1,0,4,2.3,1,27.8,41.8,0,0,9
19581,2004,3,1,4,1.7,1,38.5,51.6,0,0,1
19581,2004,3,1,4,1.7,1,38.5,51.6,0,0,2
19582,2004,3,1,4,1.7,1,32.7,48.4,0,0,1
19582,2004,3,1,4,1.7,1,32.7,48.4,0,0,2
19583,2004,3,1,4,1.7,1,33.9,49.3,0,0,1
19583,2004,3,1,4,1.7,1,33.9,49.3,0,0,2
19584,2004,3,0,4,1.7,1,35.0,48.7,0,0,1
19584,2004,3,0,4,1.7,1,35.0,48.7,0,0,2
19585,2004,3,0,4,1.7,1,35.1,47.4,0,0,1
19585,2004,3,0,4,1.7,1,35.1,47.4,0,0,2
19586,2004,3,0,4,1.7,1,40.2,56.2,0,0,1
19586,2004,3,0,4,1.7,1,40.2,56.2,0,0,2
19587,2004,3,0,4,2.0,1,28.4,39.5,0,0,2
19587,2004,3,0,4,2.0,1,28.4,39.5,0,0,5
19588,2004,3,1,4,1.3,1,52.6,60.9,0,0,1
19588,2004,3,1,4,1.3,1,52.6,60.9,0,0,2
19588,2004,3,1,4,1.3,1,52.6,60.9,0,0,5
19588,2004,3,1,4,1.3,1,52.6,60.9,0,0,9
19589,2004,3,1,4,1.3,1,53.2,60.5,0,0,1
19589,2004,3,1,4,1.3,1,53.2,60.5,0,0,2
19589,2004,3,1,4,1.3,1,53.2,60.5,0,0,5
19589,2004,3,1,4,1.3,1,53.2,60.5,0,0,9
19590,2004,3,0,4,1.3,1,50.0,64.8,0,0,1
19590,2004,3,0,4,1.3,1,50.0,64.8,0,0,2
19590,2004,3,0,4,1.3,1,50.0,64.8,0,0,5
19590,2004,3,0,4,1.3,1,50.0,64.8,0,0,9
19591,2004,3,0,4,1.3,1,51.2,64.9,0,0,1
19591,2004,3,0,4,1.3,1,51.2,64.9,0,0,2
19591,2004,3,0,4,1.3,1,51.2,64.9,0,0,5
19591,2004,3,0,4,1.3,1,51.2,64.9,0,0,9
19592,2004,3,1,4,1.5,1,29.5,45.4,0,0,1
19593,2004,3,0,4,1.5,1,31.4,45.9,0,0,1
19596,2004,3,1,4,2.0,1,27.1,41.1,0,0,9
19597,2004,3,0,4,2.0,1,29.4,43.2,0,0,6
19598,2004,3,0,6,3.5,2,21.8403,34.0073,0,0,1
19599,2004,3,0,6,3.5,2,21.8403,34.0073,0,0,1
19600,2004,3,1,6,3.5,2,20.2931,32.7132,0,0,1
19601,2004,3,1,6,3.5,4,19.3,30.3,0,0,5
19602,2004,3,1,6,3.5,2,20.2931,32.7132,0,0,1
19605,2004,2,1,6,3.0,4,19.4499,32.3,0,0,1
19606,2004,3,1,4,1.6,1,28.1,41.5,0,0,1
19607,2004,3,1,4,1.6,1,26.3398,40.296,0,0,5
