logPowerJan11,logPowerFeb11,logPowerMar11,logPowerApr11,logPowerMay11,logPowerJun11,logPowerJul11,logPowerAug11,logPowerSep11,logPowerOct11,logPowerNov11,logPowerDec11,TempJan11,TempFeb11,TempMar11,TempApr11,TempMay11,TempJun11,TempJul11,TempAug11,TempSep11,TempOct11,TempNov11,TempDec11,Longitude,Latitude,logSqMeters,logAvgIncome,AvgYearBuilt,ResidentialCustomers,CommercialCustomers,PercentMXR,PercentMFR,PercentCOM,PercentIND,PercentNA,PercentOTH,PercentSFR
3.7054,3.6324,3.6317,3.5475,3.5979,3.6415,3.6947,3.7378,3.72,3.6744,3.6382,3.549,58.1,54.86,59.54,63.14,64.04,66.38,72.5,72.14,70.88,67.1,59.54,54.14,-118.2426,33.7947,5.7819,4.5607,1955,70,32,20,17,10,7,20,0,27
3.0795,3.0599,3.0888,3.0755,3.1072,3.0941,3.0678,3.1096,3.0788,3.1007,3.0871,3.1252,59.18,55.76,59,62.6,63.5,65.66,70.16,69.8,69.08,66.56,61.7,56.12,-118.2844,33.89,5.5866,4.8859,1967,89,10,8,2,8,7,5,0,70
3.0354,3.022,3.0846,3.0899,3.1229,3.1532,3.3508,3.3284,3.2997,3.2662,3.2106,3.2003,50.18,44.42,50.36,53.6,56.12,63.5,73.76,78.26,75.92,67.1,51.44,48.02,-118.4574,34.3098,5.8504,4.8761,1967,96,4,10,3,0,0,4,1,82
3.1402,3.1052,3.1396,3.1248,3.1532,3.137,3.167,3.1587,3.1424,3.155,3.1173,3.1458,57.38,51.98,57.74,61.88,61.34,65.12,61.52,68.54,66.92,64.94,59.9,54.32,-118.4094,33.9688,5.4491,5.1745,1948,0,100,2,0,0,0,2,2,93
2.6675,2.5024,2.6821,2.5587,2.6712,2.5416,2.6395,2.525,2.6335,2.5623,2.6425,2.5775,57.38,51.98,57.74,61.88,61.34,65.12,61.52,68.54,66.92,64.94,59.9,54.32,-118.4317,33.9611,5.2532,5.1094,1984,0,96,2,45,0,0,3,0,50
3.1038,3.0488,3.0976,3.0806,3.1307,3.1055,2.9489,2.9943,3.0017,3.0763,3.0546,3.0917,59.18,55.4,57.92,61.7,62.42,63.68,68.36,67.64,66.92,64.4,59.18,55.04,-118.3679,33.9795,5.4911,4.9181,1953,76,25,7,24,13,0,2,0,55
2.8136,2.7701,2.8102,2.7889,2.8149,2.8376,2.7966,2.8129,2.8331,2.8102,2.8021,2.8149,59.36,55.58,59.9,64.04,64.76,66.74,72.14,72.32,70.52,67.1,60.08,54.68,-118.2064,34.0199,5.5153,4.4239,1966,72,29,22,7,7,40,20,2,2
3.3111,3.2448,3.3272,3.2953,3.3483,3.331,3.3379,3.3105,3.333,3.2898,3.3006,3.2688,59.18,55.4,57.92,61.7,62.42,63.68,68.36,67.64,66.92,64.4,59.18,55.04,-118.4254,33.9621,5.4616,5.2896,1954,0,100,0,22,6,0,3,0,69
3.7052,3.669,3.673,3.6562,3.7038,3.6775,3.5981,3.6572,3.6619,3.6574,3.6526,3.6505,59.18,55.4,57.92,61.7,62.42,63.68,68.36,67.64,66.92,64.4,59.18,55.04,-118.3809,33.9757,5.5137,4.8896,1987,0,99,0,63,10,2,3,0,22
3.3446,3.3064,3.3556,3.3531,3.378,3.36,3.2103,3.2,3.2074,3.2175,3.2076,3.2707,57.38,51.98,57.74,61.88,61.34,65.12,61.52,68.54,66.92,64.94,59.9,54.32,-118.4407,33.9601,5.5117,5.2261,1961,0,99,0,45,7,0,1,0,47
4.4872,4.4867,4.5169,4.5177,4.4865,4.4697,4.4683,4.5051,4.5703,4.5365,4.4912,4.5294,59.18,55.4,57.92,61.7,62.42,63.68,68.36,67.64,66.92,64.4,59.18,55.04,-118.4165,33.965,5.8683,5.0401,1947,0,100,1,28,4,0,0,0,67
3.2662,3.2792,3.3326,3.2634,3.3132,3.2567,3.031,3.0618,3.1764,3.1772,3.1682,3.1892,59.18,55.4,57.92,61.7,62.42,63.68,68.36,67.64,66.92,64.4,59.18,55.04,-118.3888,33.9679,5.6084,5.0522,1949,0,91,12,24,0,0,6,0,57
2.8136,2.7634,2.7818,2.7574,2.7694,2.7543,2.7846,2.7924,2.7528,2.752,2.7882,2.8209,59.36,55.58,59.9,64.04,64.76,66.74,72.14,72.32,70.52,67.1,60.08,54.68,-118.177,34.066,5.6753,4.7007,1960,90,10,17,17,0,11,8,0,46
